matrix_name,program_type,best_schedule,waco_time_ms,fixed_csr_time_ms
Hamrle3,sddmm,2 32 1 j1 j0 i1 i0 k1 k0 0 0 1 1 j1 48 32 = 30.2414 ms,30.2414,40.7511
IG5-14,sddmm,1 1 1 j1 i1 j0 i0 k1 k0 0 1 1 1 j1 48 8 = 8.75216 ms,8.75216,8.87055
IG5-15,sddmm,1 1 1 j1 j0 i1 i0 k1 k0 0 1 1 0 j1 48 32 = 8.76353 ms,8.76353,8.98649
IG5-16,sddmm,1 1 1 j1 j0 i1 i0 k1 k0 0 1 1 0 j1 48 32 = 8.96465 ms,8.96465,9.14925
IG5-17,sddmm,1 1 1 j1 j0 i1 i0 k1 k0 0 1 1 0 j1 48 32 = 9.31447 ms,9.31447,9.52515
IG5-18,sddmm,1 1 1 j1 j0 i1 i0 k1 k0 0 1 1 0 j1 48 32 = 10.1972 ms,10.1972,10.2864
IMDB,sddmm,32 1 1 i1 i0 j1 j0 k1 k0 0 0 0 1 i1 48 16 = 30.7441 ms,30.7441,35.6665
Ill_Stokes,sddmm,1 1 1 j1 i1 i0 j0 k1 k0 0 1 0 1 j1 48 16 = 8.88331 ms,8.88331,8.91983
Kemelmacher,sddmm,1 1 1 j1 j0 i1 i0 k1 k0 0 1 1 0 j1 48 32 = 8.73646 ms,8.73646,8.76788
Kuu,sddmm,32768 4 1 j1 j0 i1 i0 k1 k0 0 0 1 1 j1 48 2 = 8.85457 ms,8.85457,8.87189
LargeRegFile,sddmm,32 1 1 i1 i0 j1 j0 k1 k0 0 0 0 1 i1 48 8 = 27.9016 ms,27.9016,33.2818
LeGresley_87936,sddmm,1 4 128 j1 j0 i1 i0 k1 k0 0 1 0 1 j1 48 32 = 10.1306 ms,10.1306,10.76
Lin,sddmm,1 8 1 j1 j0 i1 i0 k1 k0 0 1 0 1 j1 48 32 = 12.9777 ms,12.9777,14.607
Linux_call_graph,sddmm,8 1 1 i1 i0 j1 j0 k1 k0 1 1 0 1 i1 48 2 = 13.0727 ms,13.0727,13.7358
Maragal_6,sddmm,1 8 1 j1 j0 i1 i0 k1 k0 0 1 0 1 j1 48 2 = 8.99328 ms,8.99328,9.05515
Maragal_7,sddmm,1 16 128 j1 j0 i1 i0 k1 k0 0 1 1 1 j1 48 1 = 9.49852 ms,9.49852,9.4525
Maragal_8,sddmm,1 8 1 j1 j0 i1 i0 k1 k0 0 1 0 1 j1 48 4 = 9.70284 ms,9.70284,10.3241
Muu,sddmm,1 1 1 j1 i1 j0 i0 k1 k0 0 1 1 1 j1 48 8 = 8.75141 ms,8.75141,8.82456
NACA0015,sddmm,8 1 1 i1 i0 j1 j0 k1 k0 0 0 0 1 i1 48 32 = 49.3006 ms,49.3006,51.7541
Na5,sddmm,1 1 1 j1 i1 j0 i0 k1 k0 0 1 1 1 j1 48 8 = 8.84984 ms,8.84984,8.92028
NotreDame_actors,sddmm,1 1 1 j1 i1 i0 j0 k1 k0 0 1 0 1 j1 48 16 = 13.991 ms,13.991,14.2017
NotreDame_www,sddmm,2 1 1 i1 j1 j0 i0 k1 k0 0 1 0 1 i1 48 32 = 11.5241 ms,11.5241,11.9272
OPF_10000,sddmm,1 8 1 j1 j0 i1 i0 k1 k0 0 1 0 1 j1 48 4 = 9.12617 ms,9.12617,9.22366
OPF_3754,sddmm,1 16 1 j1 j0 i1 i0 k1 k0 0 1 1 1 j1 48 2 = 8.71715 ms,8.71715,8.7901
OPF_6000,sddmm,1 8 1 j1 j0 i1 i0 k1 k0 0 1 0 1 j1 48 4 = 8.92811 ms,8.92811,8.97831
Pres_Poisson,sddmm,1 1 1 j1 j0 i1 i0 k1 k0 0 1 1 0 j1 48 32 = 9.06625 ms,9.06625,9.18147
RFdevice,sddmm,1 16 1 j1 j0 i1 i0 k1 k0 0 1 1 1 j1 48 2 = 9.81149 ms,9.81149,10.0885
Raj1,sddmm,1 2 1 j1 i1 i0 j0 k1 k0 0 1 1 1 j1 48 16 = 13.8864 ms,13.8864,14.4156
Reuters911,sddmm,1 1 1 j1 j0 i1 i0 k1 k0 0 1 1 0 j1 48 32 = 8.89696 ms,8.89696,8.94911
Rucci1,sddmm,2 4 1 j1 j0 i1 i0 k1 k0 0 0 0 1 j1 48 8 = 41.1956 ms,41.1956,27.7176
