matrix_name,program_type,best_schedule,waco_time_ms,fixed_csr_time_ms
bauru5727,spmm,32 64 1 i1 k1 k0 i0 j1 j0 0 0 0 0 i1 48 2 = 8.92882 ms,8.92882,9.03757
baxter,spmm,16 128 1 i1 k1 k0 i0 j1 j0 1 0 0 0 i1 48 1 = 8.84404 ms,8.84404,8.92935
bayer01,spmm,1 1 1 i1 k1 k0 i0 j1 j0 1 0 0 0 i1 48 64 = 9.22963 ms,9.22963,9.61795
bayer04,spmm,16 128 1 i1 k1 k0 i0 j1 j0 1 0 0 0 i1 48 2 = 8.76681 ms,8.76681,8.87411
bbmat,spmm,16 4 1 i1 k1 k0 i0 j1 j0 0 0 0 0 i1 48 2 = 9.58089 ms,9.58089,9.82567
bcircuit,spmm,2 1 64 i1 k1 k0 j1 i0 j0 0 1 0 0 i1 48 64 = 9.57384 ms,9.57384,10.1832
bcsstk15,spmm,1 128 64 i1 k1 k0 j1 i0 j0 1 0 0 0 i1 48 8 = 0.081223 ms,0.081223,8.76429
bcsstk16,spmm,4 8192 64 k1 i1 k0 j1 i0 j0 0 1 1 0 i1 48 2 = 8.89457 ms,8.89457,8.83421
bcsstk17,spmm,4 1 64 i1 k1 k0 j1 i0 j0 0 1 0 0 i1 48 8 = 8.97654 ms,8.97654,8.96262
bcsstk18,spmm,32 64 1 i1 k1 k0 i0 j1 j0 0 0 0 0 i1 48 2 = 8.73424 ms,8.73424,8.80985
bcsstk24,spmm,4 4 64 i1 k1 j1 i0 k0 j0 1 1 0 1 i1 48 4 = 8.73749 ms,8.73749,8.81907
bcsstk25,spmm,64 64 1 i1 k1 k0 i0 j1 j0 1 0 0 0 i1 48 1 = 8.81379 ms,8.81379,8.89618
bcsstk28,spmm,4 4 64 i1 k1 j1 i0 k0 j0 1 1 0 1 i1 48 2 = 8.80941 ms,8.80941,8.78788
